Currency,Date,Open,High,Low,Close,Volume,Market Cap
ethereum,2014-08-14,546.18,546.24,498.73,505.97,"35,803,900","6,649,282,620"
ethereum,2014-08-13,570.38,573.03,532.67,546.66,"25,777,500","7,181,459,812"
ethereum,2014-08-12,576.51,576.95,566.59,569.64,"13,978,200","7,481,336,243"
ethereum,2014-08-11,591.28,591.51,574.05,576.37,"14,764,200","7,567,178,700"
ethereum,2014-08-10,589.17,594.46,587.94,591.06,"7,555,310","7,757,394,871"
ethereum,2014-08-09,592.47,592.47,587.63,589.37,"7,922,070","7,732,619,577"
ethereum,2014-08-08,588.88,598.12,588.79,592.58,"11,072,000","7,771,958,458"
ethereum,2014-08-07,584.65,591.10,584.05,588.87,"11,131,400","7,721,014,780"
ethereum,2014-08-06,585.95,587.49,583.10,584.65,"14,497,900","7,663,383,046"
ethereum,2014-08-05,589.01,589.86,584.10,585.44,"10,790,800","7,671,275,262"
ethereum,2014-08-04,586.23,591.95,583.74,588.78,"9,867,570","7,713,117,798"
ethereum,2014-08-03,588.89,589.15,581.65,586.67,"9,917,990","7,683,520,602"
ethereum,2014-08-02,594.90,594.91,586.16,589.33,"8,359,080","7,716,181,169"
ethereum,2014-08-01,586.20,597.92,583.63,594.92,"18,215,900","7,786,796,032"
ethereum,2014-07-31,567.37,586.23,564.51,586.23,"22,467,900","7,670,841,007"
ethereum,2014-07-30,584.74,585.12,564.90,567.29,"14,898,800","7,420,859,009"
ethereum,2014-07-29,585.55,588.39,581.70,584.72,"11,275,400","7,646,390,353"
ethereum,2014-07-28,594.14,594.57,575.18,585.69,"19,316,400","7,656,826,297"
ethereum,2014-07-27,595.67,598.94,593.43,593.85,"7,774,230","7,761,289,329"
ethereum,2014-07-26,601.54,602.09,593.96,595.81,"10,752,900","7,784,669,228"
ethereum,2014-07-25,601.51,607.07,597.23,601.09,"12,279,500","7,851,574,790"
ethereum,2014-07-24,619.50,620.43,595.57,601.73,"20,917,200","7,857,489,687"
ethereum,2014-07-23,621.12,624.43,618.29,619.41,"11,056,600","8,086,153,118"
ethereum,2014-07-22,622.27,624.30,620.96,621.55,"9,602,880","8,111,799,946"
ethereum,2014-07-21,623.95,624.09,619.11,622.21,"10,711,900","8,118,204,691"
ethereum,2014-07-20,628.56,628.56,622.78,623.90,"5,760,120","8,137,808,455"
ethereum,2014-07-19,629.17,629.17,624.60,628.52,"7,222,030","8,195,599,907"
ethereum,2014-07-18,622.37,629.21,620.47,628.78,"14,158,100","8,196,212,862"
ethereum,2014-07-17,616.54,626.29,608.40,623.09,"16,576,700","8,119,394,873"
ethereum,2014-07-16,622.01,623.09,615.33,616.80,"13,182,400","8,034,806,880"
ethereum,2014-07-15,620.00,625.14,619.64,621.59,"10,873,200","8,094,883,399"
ethereum,2014-07-14,626.56,627.34,617.32,619.32,"12,706,800","8,062,877,468"
ethereum,2014-07-13,634.22,634.73,624.91,626.50,"11,291,000","8,154,265,678"
ethereum,2014-07-12,631.88,636.66,626.98,633.71,"13,329,000","8,245,635,914"
ethereum,2014-07-11,616.66,632.09,615.77,632.00,"16,467,100","8,220,889,623"
ethereum,2014-07-10,624.83,626.12,612.35,616.76,"15,880,700","8,020,234,277"
ethereum,2014-07-09,625.22,627.00,622.60,624.51,"9,819,150","8,118,679,451"
ethereum,2014-07-08,622.57,626.70,620.91,624.82,"10,005,500","8,120,056,626"
ethereum,2014-07-07,635.46,637.16,617.01,624.09,"17,813,600","8,108,140,914"
ethereum,2014-07-06,631.77,638.65,631.16,635.81,"10,080,000","8,258,179,220"
ethereum,2014-07-05,629.95,633.22,628.00,631.46,"9,105,940","8,199,437,572"
ethereum,2014-07-04,644.65,648.43,629.40,630.69,"22,237,200","8,187,107,456"
ethereum,2014-07-03,650.77,650.77,641.30,645.16,"18,949,000","8,372,189,412"
ethereum,2014-07-02,641.04,656.68,638.34,650.88,"25,768,200","8,444,194,978"
ethereum,2014-07-01,641.39,657.86,640.11,640.81,"38,446,300","8,311,317,901"
ethereum,2014-06-30,602.62,645.16,599.88,639.80,"46,422,400","8,296,103,745"
ethereum,2014-06-29,596.33,604.08,596.16,602.72,"8,897,470","7,813,280,835"
ethereum,2014-06-28,599.08,604.47,595.92,596.55,"13,398,100","7,730,991,679"
ethereum,2014-06-27,581.30,600.12,579.89,597.26,"20,814,600","7,737,366,940"
ethereum,2014-06-26,566.14,581.63,564.73,581.14,"14,655,900","7,525,767,735"
ethereum,2014-06-25,581.81,583.60,565.63,566.34,"20,687,700","7,331,658,430"
ethereum,2014-06-24,593.97,596.97,582.36,582.36,"14,144,900","7,536,340,173"
ethereum,2014-06-23,602.16,603.21,586.34,593.98,"14,053,800","7,684,029,467"
ethereum,2014-06-22,595.90,606.00,594.63,602.27,"10,877,700","7,788,609,493"
ethereum,2014-06-21,593.68,599.46,587.74,594.99,"9,256,290","7,691,773,955"
ethereum,2014-06-20,597.40,599.75,587.76,594.15,"18,134,100","7,678,074,490"
ethereum,2014-06-19,608.07,612.24,597.02,598.07,"12,803,800","7,726,000,792"
ethereum,2014-06-18,609.77,615.88,604.40,607.96,"17,862,000","7,851,200,010"
ethereum,2014-06-17,591.59,610.89,590.40,610.86,"18,597,300","7,886,300,055"
ethereum,2014-06-16,592.65,608.72,587.07,592.19,"28,677,500","7,642,482,234"
ethereum,2014-06-15,575.93,592.94,554.89,592.94,"23,580,900","7,649,361,650"
ethereum,2014-06-14,600.75,601.27,549.82,577.36,"38,481,200","7,445,594,334"
ethereum,2014-06-13,585.70,615.14,585.70,600.16,"35,700,700","7,737,046,327"
ethereum,2014-06-12,633.43,638.11,573.27,586.95,"50,818,800","7,564,343,900"
ethereum,2014-06-11,653.19,657.04,632.55,633.02,"25,163,800","8,155,307,439"
ethereum,2014-06-10,650.04,659.61,646.56,653.15,"17,913,400","8,412,294,411"
ethereum,2014-06-09,655.64,657.70,644.39,649.16,"19,065,400","8,358,149,331"
ethereum,2014-06-08,654.99,658.88,653.47,656.14,"8,614,190","8,445,489,607"
ethereum,2014-06-07,653.52,656.94,644.91,654.97,"15,855,300","8,428,206,589"
ethereum,2014-06-06,659.28,661.37,652.30,653.70,"18,680,100","8,409,353,268"
ethereum,2014-06-05,641.07,663.53,640.09,659.26,"29,621,300","8,478,552,324"
ethereum,2014-06-04,666.77,668.56,624.09,641.61,"37,731,500","8,249,183,077"
ethereum,2014-06-03,660.55,674.11,650.78,667.60,"40,653,700","8,580,309,812"
ethereum,2014-06-02,629.65,665.50,618.74,660.62,"45,450,200","8,487,587,033"
ethereum,2014-06-01,623.69,671.51,619.91,630.23,"45,259,100","8,094,125,581"
ethereum,2014-05-31,615.69,624.72,604.47,623.68,"15,107,100","8,007,248,676"
ethereum,2014-05-30,568.18,618.46,568.16,615.33,"31,985,400","7,897,757,908"
ethereum,2014-05-29,576.33,577.10,561.60,568.18,"18,707,800","7,290,260,762"
ethereum,2014-05-28,571.91,578.62,564.09,577.06,"19,289,000","7,402,205,099"
ethereum,2014-05-27,582.59,589.52,554.43,571.24,"38,032,000","7,325,147,499"
ethereum,2014-05-26,571.39,588.39,565.33,583.42,"29,959,800","7,479,335,238"
ethereum,2014-05-25,525.23,576.48,525.23,571.59,"47,010,300","7,325,371,780"
ethereum,2014-05-24,521.05,525.17,516.28,525.14,"11,499,300","6,727,963,028"
ethereum,2014-05-23,525.72,541.96,520.08,520.22,"34,934,700","6,662,964,359"
ethereum,2014-05-22,492.05,525.36,490.19,524.58,"33,086,500","6,716,604,600"
ethereum,2014-05-21,485.80,494.37,483.49,491.77,"14,626,000","6,294,422,409"
ethereum,2014-05-20,446.30,491.44,446.01,485.72,"40,327,500","6,214,911,439"
ethereum,2014-05-19,446.08,447.55,443.10,446.18,"6,242,620","5,706,978,471"
ethereum,2014-05-18,448.70,449.77,444.78,446.26,"2,857,830","5,706,165,793"
ethereum,2014-05-17,448.12,451.98,447.30,448.90,"2,945,790","5,737,967,927"
ethereum,2014-05-16,447.39,450.66,444.96,448.06,"6,475,100","5,725,217,915"
ethereum,2014-05-15,444.14,449.80,443.63,447.25,"7,362,980","5,712,906,334"
ethereum,2014-05-14,440.59,446.66,440.50,443.97,"9,472,960","5,669,111,766"
ethereum,2014-05-13,441.53,441.98,436.97,440.67,"7,682,670","5,625,308,533"
ethereum,2014-05-12,438.30,442.26,434.23,441.46,"7,383,770","5,633,629,021"
ethereum,2014-05-11,453.92,455.34,433.40,438.89,"12,251,700","5,598,956,479"
ethereum,2014-05-10,450.46,455.77,448.47,454.43,"6,682,600","5,795,543,101"
ethereum,2014-05-09,440.18,452.69,440.14,449.46,"10,347,900","5,730,133,343"
ethereum,2014-05-08,438.68,448.40,438.14,440.17,"9,446,580","5,609,810,850"
ethereum,2014-05-07,429.34,446.13,428.45,438.82,"18,332,200","5,590,798,951"
ethereum,2014-05-06,433.36,448.04,423.25,428.96,"12,507,300","5,463,474,513"
ethereum,2014-05-05,434.78,440.97,427.62,433.48,"10,004,800","5,518,951,942"
ethereum,2014-05-04,438.52,439.77,430.05,436.40,"5,621,260","5,554,777,406"
ethereum,2014-05-03,449.40,449.40,430.68,437.76,"9,849,640","5,570,422,954"
ethereum,2014-05-02,457.36,457.93,443.40,449.38,"10,394,200","5,716,625,927"
ethereum,2014-05-01,447.63,460.61,447.63,457.76,"12,871,800","5,821,425,472"
ethereum,2014-04-30,446.89,451.10,436.70,447.64,"15,244,900","5,690,810,165"
ethereum,2014-04-29,439.98,451.64,435.18,447.21,"16,401,400","5,683,724,524"
ethereum,2014-04-28,430.72,447.53,422.94,440.29,"23,876,600","5,593,864,954"
ethereum,2014-04-27,457.24,459.33,436.39,436.39,"10,949,500","5,542,720,307"
